SKU_ID,sku,product_line,brand,sales,price
1,Samsung Stereo Headset Wird EO-EG920BWEG,Phones Mobile Accessories,"SAMSUNG",1,1359
2,HITACHI REF SBS RM-700AGPND4X-(DIA),Refrigerators,"HITACHI",1,184408
3,SIEMENS DISHWASHER SN26L801IN,Dishwashers,"SIEMENS",1,34425
4,Super General S/AC 1.5T SGSI185-3BE 3S,Air Conditioners,"Super General",1,29750
5,Apple 12W USB Power Adapter,Tablets & Detachables,"APPLE",1,1700
6,Stuffcool Mighty 2.5D Protr IPhone 6 Wht,Phones Mobile Accessories,"STUFFCOOL",3,965.6666667
7,PS4 Game Assassins Creed Syndicate,Gaming Software,"UBISOFT",1,1299
8,Asus 15 FX553VD 7Gi5 16GB4X BLK,Mobile Computing,"ASUS",2,75990
9,Tizum Prtbl Travel Accessories Carry Bag,Phones Mobile Accessories,"AIRPLUS",4,899
10,Bajaj Toaster Pop-Up ATX4,Kitchen Appliances,"BAJAJ",3,1462.333333
11,Sony BT Speaker XB20 Blue,MP3 Players,"SONY",13,5987.461538
12,Targus Optical Mouse AMW571AP,Input Devices,"TARGUS",55,450.6181818
13,Croma stereo Headphone CREA4209 IGH-2,Earphones/Headphones,"CROMA",5,999
14,STUFFCOOL PURE Soft Case Smng J7 Pro Clr,Phones Mobile Accessories,"STUFFCOOL",9,543.8888889
15,Sony BT Earphone XB50BS Black,Earphones/Headphones,"SONY",4,4990
16,Eureka Forbes Car Clean,Home Appliances,"EUREKAFORB",1,994
17,Samsung Ref SBS 591L RS554NRUA,Refrigerators,"SAMSUNG",1,79815
18,ITEK RAPID  8 PIN LIGHTNING TO USB GREY,Phones Mobile Accessories,"ITEK",2,1420.5
19,Envent Earphone Beatz 302 Grey,Earphones/Headphones,"ENVENT",2,549
20,Samsung Wash/Dry 8/6K-WD80J6410,Washing Machines,"SAMSUNG",6,54485
21,Stuffcool Vogue Case Smsung C9 Pro,Phones Mobile Accessories,"STUFFCOOL",1,629
22,SONY Earphone MDR-EX155 Black,Earphones/Headphones,"SONY",11,990
23,Aquaguard W-Purifr Superb RO+UV+UF+TDS,Water Purifiers,"AQUAGUARD",21,17928.57143
24,BLUESTAR S/AC 1.5T BS-5HW18SBTU 5S,Air Conditioners,"BLUESTAR",1,36542
25,Croma M/W Conv 30L CRAM0189 New 100 Menu,Microwaves,"CROMA",5,11936
26,SIEMENS W/M FL 8KG WM14T469IN SILVER,Washing Machines,"SIEMENS",2,39525
27,SAMSUNG W/M TL 6KG WA60M4300HD/TL SLV,Washing Machines,"SAMSUNG",15,14990
28,SAMSUNG REF SBS 604L RS55K5010SL/TL SS,Refrigerators,"SAMSUNG",1,72250
29,Itek Dual USB 4 Socket m/sw Surge Chargr,Phones Mobile Accessories,"ITEK",3,869
30,Stuffcool Clasp Car Mount Black,Phones Mobile Accessories,"STUFFCOOL",4,854
31,Duracell Copper Black Alkaline AAx4,Travel Accessories,"DURACELL",15,145
32,Gigaset Cordless Phone A450 New Mrp,Phones Fixed,"Gigaset",1,2299
33,Boat Earphone Bassheads200 Red,Earphones/Headphones,"BOAT",8,567.75
34,Croma BS Hand Mixer CRK4172,Kitchen Appliances,"CROMA",4,2027
35,Samsung Galaxy J200G Black,Smart Phones (OS Based),"SAMSUNG",15,7297
36,Targus Spruce Ecosmart Backpack 39cm,Computer Bags,"TARGUS",3,2899
37,Boat Bluetooth Speaker Rugby Blue,MP3 Players,"BOAT",1,1999
38,Bose Wave Music System,Shop in Shop,"BOSE",1,31410
39,Ahha Smrt Flipcase Zaki iPad Air BLK/RED,Tablets & Detachables,"CAPDASE",1,220
40,UltimateEarsBTSpkr Wonderboom PhantomBlk,MP3 Players,"Ultimate Ears",5,5996
41,Philips Body Shaver BG1024/16,Health & Personal Care,"PHILIPS",18,1353
42,E-HITACHI S/AC 2T ZUN 3300 FRAU324IVD 3S,Air Conditioners,"HITACHI",1,50571
43,UltraProlink BT Earphones Pro-FIT Blue,Earphones/Headphones,"Ultraprolink",1,1999
44,Apple AirPods,Phones Mobile Accessories,"APPLE",6,13060
45,Croma powerbank 15000mAh CA0070 EP-U9,Phones Mobile Accessories,"CROMA",11,2580
46,SONY 5.1Ch Soundbar HT-RT40,Home Theatre,"SONY",6,21713.33333
47,Dell Insp 7559/i5-6300/8GB/1TB/Win10,Mobile Computing,"DELL",4,63452
48,NOKIA 3310 Dual SIM Yellow Glossy,Phones Mobile,"NOKIA",3,3310
49,Fitbit Blaze Black Gun Metal - Large,Lifestyle & Wearables,"FITBIT",1,16999
50,LG W/M SEMI 9KG P1062R3SA DARK GREY,Washing Machines,"LG",2,17305
51,Boat Earphone Bassheads225 Red,Earphones/Headphones,"BOAT",12,699
52,Dell Ins 3552 Pentium/4GB/500/Win 10+Off,Mobile Computing,"DELL",6,28245
53,Nikon DSLR D7200(18-105)VR KIT,Digital Cameras,"NIKON",1,76256
54,CROMA S/AC 1T CRAC7513 5SPAC,Air Conditioners,"CROMA",4,25240
55,Philips Iron Steam GC1905/01,Home Appliances,"PHILIPS",20,1573
56,Braun Female Epilator SE9-9961 LegBody,Health & Personal Care,"BRAUN",1,10710
57,Hitachi W/AC 1T KAZE+ RAW511KUD 5Str,Air Conditioners,"HITACHI",5,24642
58,Panasonic W/M TL 6.2Kg 62B3H/B5H,Washing Machines,"PANASONIC",1,13920
59,Godrej Goldilocks,Security,"GODREJ",1,7599
60,Usha Food Processor 2663 (New),Kitchen Appliances,"USHA",3,4899
61,STUFFCOOL Mighty Protctr Smsng J7 PRO GD,Phones Mobile Accessories,"STUFFCOOL",1,699
62,Casemate Naked Tough Case iPhone 6/6S,Phones Mobile Accessories,"STUFFCOOL",1,1166
63,SONY Earphone MDR-EX255AP Blue,Earphones/Headphones,"SONY",5,1990
64,Samsung Galaxy J200G Gold,Smart Phones (OS Based),"SAMSUNG",30,7335.033333
65,PS4 Game Assassins Creed 4 Black Flag,Gaming Software,"UBISOFT",1,1299
66,SAMSUNG LED 123cm 49M5100,TV LCD,"SAMSUNG",2,57375
67,Panasonic C/L KX TG 3411 BX/SX,Phones Fixed,"PANASONIC",5,2257.2
68,Casemate Tough Naked-iPhone 7+/6S+ Clr,Phones Mobile Accessories,"CASEMATE",5,1435.2
69,Croma Mini Port to HDMI XH3192,Peripherals,"CROMA",5,650
70,SanDisk 32 GB Ultra USB 3.0,Storage Media,"SANDISK",6,899
71,Acer E5-575 7Gi5 4GBN+OFF,Mobile Computing,"ACER",10,37041.5
72,PANASONIC S/AC 1T CS/CU-KC12SKY3A 3S,Air Conditioners,"PANASONIC",1,27540
73,Sony Powerbank 5800mAH,Phones Mobile Accessories,"SONY",7,1602.857143
74,DELL inspiron 3567 7Gi5 8GB2X +OFF BLK,Mobile Computing,"DELL",5,50991
75,BOAT BT Headphone Rockerz470 Black,Earphones/Headphones,"BOAT",38,1498.052632
76,HP Ink Cartridge F6V -21AA (803-Blk) New,Printers & Office Solutions,"HP",2,843
77,Croma 2Sl Toaster CRAK6092,Kitchen Appliances,"CROMA",10,1248.5
78,SAMSUNG REF DC 192L RR20M282ZR2/NL 3S,Refrigerators,"SAMSUNG",2,16500
79,Sony LED 109cm 43W800D 3D,TV LCD,"SONY",10,61089
80,Philips Headphone SHL3060BL Blue,Earphones/Headphones,"PHILIPS",2,995
81,Philips S/W Maker HD2394/99,Kitchen Appliances,"PHILIPS",4,2295
82,HP AU623TX 7GI5 8GBX+OFF SLV,Mobile Computing,"HP",8,59178.125
83,Jabra Boost Bluetooth Headset Black,Phones Mobile Accessories,"JABRA",19,1609.894737
84,Samsung M/W Con 28L MC28H5025VL/TL,Microwaves,"SAMSUNG",3,15290
85,OPPO F3 Plus Black,Smart Phones (OS Based),"OPPO",4,27990
86,Envent Earphone Beatz 302 Black,Earphones/Headphones,"ENVENT",14,549
87,Lenovo Yoga 510 ACIH 7Gi3 4GBN+OFF,Mobile Computing,"LENOVO",3,43924
88,PS4 DualShock Controller Black,Gaming Hardware,"SONY",3,4823.666667
89,BLUESTAR S/AC 1T 3HW12VCU1 3S,Air Conditioners,"BLUESTAR",5,27192
90,Samsung LED 124cm 49K5570,TV LCD,"SAMSUNG",3,66505
91,"Croma LED FHD 55cm 22"" EL7068",TV LCD,"CROMA-ADONIS",12,10146.75
92,Croma BT Spk Mini Silver ER2071 BT120,MP3 Players,"CROMA",1,1949
93,Nikon Binoculars Aculon A211 10-22X50,Imaging Accessories,"NIKON",1,11592
94,Samsung LED 100cm 40K5570,TV LCD,"SAMSUNG",2,36335
95,LG W/M FL 6KG FH0H3NDNL02,Washing Machines,"LG",1,24897
96,Sony Powerbank 15000mAh,Phones Mobile Accessories,"SONY",8,4069
97,Croma Powerbank 10400MAH CA0065 CM016,Phones Mobile Accessories,"CROMA",79,1631.240506
98,Croma Ref DC 225L CRAR0213- RA 2*,Refrigerators,"CROMA",1,13990
99,Philips InEar Hphones 3590 BLU,Earphones/Headphones,"PHILIPS",6,499
100,ENVENT BT Earphone Live Tune 505 Black,Earphones/Headphones,"ENVENT",2,1399
101,DAIKIN INV/AC 1T FTKH35SRV 3S,Air Conditioners,"DAIKIN",1,33320
102,Travel Blue Passport Cover,Travel Accessories,"TRAVEL BLUE",1,750
103,Cyber Power Powerbank 10000mAH,Phones Mobile Accessories,"Cyber Power",2,2199
